	tid	plattform	hyppighet	mange_videoer_proc	mange_i_snitt_proc	tidseffektivt_proc	laeringsutbytte_proc	engasjerende_proc	andre_ressurser_proc	mange_i_snitt_animert_proc	tidseffektivt_animert_proc	laeringsutbytte_animert_proc	engasjerende_animert_proc	q1_proc	q2_proc	q3_proc	q4_proc	q5_proc	mange_videoer_virt	mange_i_snitt_virt	tidseffektivt_virt	laeringsutbytte_virt	engasjerende_virt	andre_ressurser_virt	mange_i_snitt_animert_virt	tidseffektivt_animert_virt	laeringsutbytte_animert_virt	engasjerende_animert_virt	q1_virt	q2_virt	q3_virt	q4_virt	q5_virt
22	-	0	1	0	0	0	0	0	0,1,2,4,5,6	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0,4,5,6	0	0	0	0	0	1	2	1	2
23	6:09	0,2,3,4	1	0	0	0	0	0	0,4,5	1	5	4	5	-	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0
24	7:11	0,1,2	2	0	0	0	0	0	0,3,4,5,6	0	0	0	0	1	1	1	3	3	0	0	0	0	0	0,3,4,5,6	0	0	0	0	0	1	0	3	0
25	6:21	0,1,4	3	2	1	5	4	3	0,3,4,5	1	4	4	3	1	0	1	3	0	0	1	4	3	3	0,3,5	0	0	0	0	3	3	2	3	1
26	7:26	0	1	0	0	0	0	0	0	1	3	3	3	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	1
27	6:38	0,1,4	3	2	1	3	4	4	0,4,5,6	1	4	3	3	1	0	1	3	1	2	1	3	3	4	0,4,5,6	1	4	3	3	0	1	2	1	1
28	6:30	2,3,4	2	2	1	3	3	2	0,3,4,5,6	1	3	3	2	2	0	1	3	3	0	0	0	0	0	0,4,5,6	0	0	0	0	0	1	2	1	1
29	5:02	0	1	2	5	3	3	3	1,4,5	0	3	3	3	3	2	1	2	0	0	0	0	0	0	1,4,5	0	0	0	0	2	2	2	3	1
30	6:25	0,1,2,4	2	2	1	3	3	3	0,4	0	0	0	0	3	0	1	3	2	0	0	0	0	0	0,4	0	0	0	0	0	1	2	3	1
31	5:29	2	1	2	1	3	3	3	0,1,5,6	1	3	4	2	2	0	1	3	3	0	0	0	0	0	0,1,5,6	0	0	0	0	0	1	0	1	-
32	5:50	0,2	2	2	1	4	3	4	0,1,2,6	1	4	3	5	2	0	1	3	0,3	0	0	0	0	0	0,1,2,6	1	4	3	5	0	1	2	3	1
33	4:55	0	1	1	0	2	1	1	4,5	1	5	4	5	2	1	1	0	3	1	0	1	2	1	0,4,5	2	4	5	4	0	1	1	1	1
34	5:29	0,2,4	2	2	1	3	3	2	0	0	0	0	0	2	3	1	0	0,2	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2
35	5:28	0	2	1	1	3	3	2	0,3,4	1	3	3	2	2	0	0	3	3	0	0	-	-	-	0,3,4	0	-	-	-	0	1	2	3	1
36	6:38	0,2	1	2	1	3	2	3	0,4	0	0	0	0	2	0	1	3	3	0	0	0	0	0	0,6	0	0	0	0	0	1	0	3	1
37	7:15	1,2	3	1	2	3	2	3	0,3,4,6	2	4	3	4	2	1	1	3	1	1	1	3	3	3	0,3,4,6	1	4	4	3	0	1	0	-	2
38	10:14	0,1,4	2	2	1	3	3	-	0,1	1	3	3	3	1	0	1	3	3	0	0	0	0	0	0,1,4	0	0	0	0	0	1	1	3	0
39	7:40	0,1	5	2	2	3	3	3	0	1	4	3	3	2,3	1	1	2	3	1	2	4	3	3	0	1	3	3	3	0	1	3	3	1
40	7:10	0,1,2,4	1	3	1	1	2	2	4,5,6	0	0	0	0	-	-	-	3	-	1	1	0	0	0	4	0	0	0	0	-	-	-	1	-
41	4:40	4	2	2	2	3	4	2	5	0	0	0	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
42	10:40	1,4	2	1	1	5	3	3	3,5	1	3	3	3	2	0	2	0	1	1	1	4	4	4	1,5	2	3	3	3	3	2	2	3	2
43	11:00	1	2	1	1	2	2	2	4,5,6	2	2	2	2	2	0	1	3	3	1	1	2	2	2	4,5,6	2	2	3	3	3	2	2	0	2
44	7:30	1,2	0	0	0	0	0	0	0,5,6	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0,5,6	0	0	0	0	0	0	0	1	0
45	9:30	1,4	3	3	1	5	1	1	0,4,5	1	3	4	2	3	1	1	3	3	2	1	5	1	1	0,4,5	1	4	1	1	3	3	2	3	2
46	9:30	0,1,2,4	2	3	1	4	4	4	0,2,3,4,5,6	1	4	4	4	2	1	1	3	-	4	1	-	-	3	0	1	4	3	3	0	1	0	3	2
47	-	0,1,2,4	0	3	1	1	1	1	3,4,5,6	3	1	1	1	-	-	-	-	-	0	0	0	0	0	-	0	0	0	0	-	-	-	-	-
48	-	1,2	2	1	1	2	1	1	3,4,5,6	0	0	0	0	1	3	1	0	1	0	0	0	0	0	0,3,4,5,6	0	0	0	0	3	2	1	0	1
